estado,municipio,base,escenario,estado_norm,municipio_norm,cambio_detectable,municipio_inegi_norm,municipio_inegi,cve_ent,cve_mun,cvegeo,existe_en_inegi
GUERRERO,EDUARDO NERI,BANAVIM,ALTA,GUERRERO,EDUARDO NERI,False,EDUARDO NERI,Eduardo Neri,12,075,12075,True
GUERRERO,MARQUELIA,BANAVIM,ALTA,GUERRERO,MARQUELIA,False,MARQUELIA,Marquelia,12,077,12077,True
GUERRERO,OMETEPEC,BANAVIM,ALTA,GUERRERO,OMETEPEC,False,OMETEPEC,Ometepec,12,046,12046,True
GUERRERO,PETATLAN,BANAVIM,ALTA,GUERRERO,PETATLAN,False,PETATLAN,Petatlán,12,048,12048,True
GUERRERO,PUNGARABATO,BANAVIM,ALTA,GUERRERO,PUNGARABATO,False,PUNGARABATO,Pungarabato,12,050,12050,True
GUERRERO,TLAPA DE COMONFORT,BANAVIM,ALTA,GUERRERO,TLAPA DE COMONFORT,False,TLAPA DE COMONFORT,Tlapa de Comonfort,12,066,12066,True
GUERRERO,ZIHUATANEJO DE AZUETA,BANAVIM,ALTA,GUERRERO,ZIHUATANEJO DE AZUETA,False,ZIHUATANEJO DE AZUETA,Zihuatanejo de Azueta,12,038,12038,True
HIDALGO,ACTOPAN,BANAVIM,ALTA,HIDALGO,ACTOPAN,False,ACTOPAN,Actopan,13,003,13003,True
HIDALGO,ALFAJAYUCAN,BANAVIM,ALTA,HIDALGO,ALFAJAYUCAN,False,ALFAJAYUCAN,Alfajayucan,13,006,13006,True
HIDALGO,APAN,BANAVIM,ALTA,HIDALGO,APAN,False,APAN,Apan,13,008,13008,True
HIDALGO,ATITALAQUIA,BANAVIM,ALTA,HIDALGO,ATITALAQUIA,False,ATITALAQUIA,Atitalaquia,13,010,13010,True
HIDALGO,ATOTONILCO DE TULA,BANAVIM,ALTA,HIDALGO,ATOTONILCO DE TULA,False,ATOTONILCO DE TULA,Atotonilco de Tula,13,013,13013,True
HIDALGO,ATOTONILCO EL GRANDE,BANAVIM,ALTA,HIDALGO,ATOTONILCO EL GRANDE,False,ATOTONILCO EL GRANDE,Atotonilco el Grande,13,012,13012,True
HIDALGO,EPAZOYUCAN,BANAVIM,ALTA,HIDALGO,EPAZOYUCAN,False,EPAZOYUCAN,Epazoyucan,13,022,13022,True
HIDALGO,HUEJUTLA DE REYES,BANAVIM,ALTA,HIDALGO,HUEJUTLA DE REYES,False,HUEJUTLA DE REYES,Huejutla de Reyes,13,028,13028,True
HIDALGO,IXMIQUILPAN,BANAVIM,ALTA,HIDALGO,IXMIQUILPAN,False,IXMIQUILPAN,Ixmiquilpan,13,030,13030,True
HIDALGO,METZTITLAN,BANAVIM,ALTA,HIDALGO,METZTITLAN,False,METZTITLAN,Metztitlán,13,037,13037,True
HIDALGO,MINERAL DE LA REFORMA,BANAVIM,ALTA,HIDALGO,MINERAL DE LA REFORMA,False,MINERAL DE LA REFORMA,Mineral de la Reforma,13,051,13051,True
HIDALGO,MINERAL DEL CHICO,BANAVIM,ALTA,HIDALGO,MINERAL DEL CHICO,False,MINERAL DEL CHICO,Mineral del Chico,13,038,13038,True
HIDALGO,MIXQUIAHUALA DE JUAREZ,BANAVIM,ALTA,HIDALGO,MIXQUIAHUALA DE JUAREZ,False,MIXQUIAHUALA DE JUAREZ,Mixquiahuala de Juárez,13,041,13041,True
HIDALGO,NOPALA DE VILLAGRAN,BANAVIM,ALTA,HIDALGO,NOPALA DE VILLAGRAN,False,NOPALA DE VILLAGRAN,Nopala de Villagrán,13,044,13044,True
HIDALGO,PACHUCA DE SOTO,BANAVIM,ALTA,HIDALGO,PACHUCA DE SOTO,False,PACHUCA DE SOTO,Pachuca de Soto,13,048,13048,True
HIDALGO,SINGUILUCAN,BANAVIM,ALTA,HIDALGO,SINGUILUCAN,False,SINGUILUCAN,Singuilucan,13,057,13057,True
HIDALGO,TECOZAUTLA,BANAVIM,ALTA,HIDALGO,TECOZAUTLA,False,TECOZAUTLA,Tecozautla,13,059,13059,True
HIDALGO,TEPEAPULCO,BANAVIM,ALTA,HIDALGO,TEPEAPULCO,False,TEPEAPULCO,Tepeapulco,13,061,13061,True
HIDALGO,TEPEHUACAN DE GUERRERO,BANAVIM,ALTA,HIDALGO,TEPEHUACAN DE GUERRERO,False,TEPEHUACAN DE GUERRERO,Tepehuacán de Guerrero,13,062,13062,True
