escenario,tipo,estado_municipio
ALTA,solo_banavim,MICHOACAN - IRIMBO
ALTA,solo_banavim,MICHOACAN - JIQUILPAN
ALTA,solo_banavim,MICHOACAN - LA PIEDAD
ALTA,solo_banavim,MICHOACAN - MORELIA
ALTA,solo_banavim,MICHOACAN - PATZCUARO
ALTA,solo_banavim,MICHOACAN - PUREPERO
ALTA,solo_banavim,MICHOACAN - SAHUAYO
ALTA,solo_banavim,MICHOACAN - TACAMBARO
ALTA,solo_banavim,MICHOACAN - TANGANCICUARO
ALTA,solo_banavim,MICHOACAN - URUAPAN
ALTA,solo_banavim,MICHOACAN - VENUSTIANO CARRANZA
ALTA,solo_banavim,MICHOACAN - ZAMORA
ALTA,solo_banavim,MICHOACAN - ZITACUARO
ALTA,solo_banavim,MORELOS - ATLATLAHUCAN
ALTA,solo_banavim,MORELOS - AXOCHIAPAN
ALTA,solo_banavim,MORELOS - AYALA
ALTA,solo_banavim,MORELOS - COATLAN DEL RIO
ALTA,solo_banavim,MORELOS - CUAUTLA
ALTA,solo_banavim,MORELOS - CUERNAVACA
ALTA,solo_banavim,MORELOS - EMILIANO ZAPATA
ALTA,solo_banavim,MORELOS - HUITZILAC
ALTA,solo_banavim,MORELOS - JIUTEPEC
ALTA,solo_banavim,MORELOS - JOJUTLA
ALTA,solo_banavim,MORELOS - JONACATEPEC DE LEANDRO VALLE
ALTA,solo_banavim,MORELOS - MIACATLAN
ALTA,solo_banavim,MORELOS - TEMIXCO
ALTA,solo_banavim,MORELOS - TEPOZTLAN
ALTA,solo_banavim,MORELOS - TETECALA
ALTA,solo_banavim,MORELOS - TLALTIZAPAN DE ZAPATA
ALTA,solo_banavim,MORELOS - TOTOLAPAN
ALTA,solo_banavim,MORELOS - XOCHITEPEC
ALTA,solo_banavim,MORELOS - YAUTEPEC
ALTA,solo_banavim,MORELOS - YECAPIXTLA
ALTA,solo_banavim,MORELOS - ZACATEPEC
ALTA,solo_banavim,NAYARIT - AHUACATLAN
ALTA,solo_banavim,NAYARIT - BAHIA DE BANDERAS
ALTA,solo_banavim,NAYARIT - HUAJICORI
ALTA,solo_banavim,NAYARIT - IXTLAN DEL RIO
ALTA,solo_banavim,NAYARIT - TEPIC
ALTA,solo_banavim,NUEVO LEON - APODACA
ALTA,solo_banavim,NUEVO LEON - CADEREYTA JIMENEZ
ALTA,solo_banavim,NUEVO LEON - CIENEGA DE FLORES
ALTA,solo_banavim,NUEVO LEON - DOCTOR ARROYO
ALTA,solo_banavim,NUEVO LEON - GALEANA
ALTA,solo_banavim,NUEVO LEON - GARCIA
ALTA,solo_banavim,NUEVO LEON - GENERAL BRAVO
ALTA,solo_banavim,NUEVO LEON - GENERAL ESCOBEDO
ALTA,solo_banavim,NUEVO LEON - GENERAL ZUAZUA
ALTA,solo_banavim,NUEVO LEON - GUADALUPE
ALTA,solo_banavim,NUEVO LEON - JUAREZ
ALTA,solo_banavim,NUEVO LEON - LINARES
ALTA,solo_banavim,NUEVO LEON - MIER Y NORIEGA
ALTA,solo_banavim,NUEVO LEON - MONTEMORELOS
ALTA,solo_banavim,NUEVO LEON - MONTERREY
ALTA,solo_banavim,NUEVO LEON - PESQUERIA
ALTA,solo_banavim,NUEVO LEON - SABINAS HIDALGO
ALTA,solo_banavim,NUEVO LEON - SALINAS VICTORIA
ALTA,solo_banavim,NUEVO LEON - SAN NICOLAS DE LOS GARZA
ALTA,solo_banavim,NUEVO LEON - SAN PEDRO GARZA GARCIA
ALTA,solo_banavim,NUEVO LEON - SANTA CATARINA
ALTA,solo_banavim,NUEVO LEON - SANTIAGO
ALTA,solo_banavim,OAXACA - ANIMAS TRUJANO
ALTA,solo_banavim,OAXACA - HEROICA CIUDAD DE HUAJUAPAN DE LEON
ALTA,solo_banavim,OAXACA - MATIAS ROMERO AVENDANO
ALTA,solo_banavim,OAXACA - NAZARENO ETLA
ALTA,solo_banavim,OAXACA - OAXACA DE JUAREZ
ALTA,solo_banavim,OAXACA - SAN ANDRES HUAYAPAM
ALTA,solo_banavim,OAXACA - SAN ANTONIO DE LA CAL
ALTA,solo_banavim,OAXACA - SAN BARTOLO COYOTEPEC
ALTA,solo_banavim,OAXACA - SAN FRANCISCO IXHUATAN
ALTA,solo_banavim,OAXACA - SAN FRANCISCO TELIXTLAHUACA
ALTA,solo_banavim,OAXACA - SAN JUAN BAUTISTA TUXTEPEC
ALTA,solo_banavim,OAXACA - SAN JUAN OZOLOTEPEC
ALTA,solo_banavim,OAXACA - SAN PEDRO Y SAN PABLO TEPOSCOLULA
ALTA,solo_banavim,OAXACA - SAN SEBASTIAN TUTLA
ALTA,solo_banavim,OAXACA - SANTA CRUZ XOXOCOTLAN
ALTA,solo_banavim,OAXACA - SANTA LUCIA DEL CAMINO
ALTA,solo_banavim,OAXACA - SOLEDAD ETLA
ALTA,solo_banavim,OAXACA - TLACOLULA DE MATAMOROS
ALTA,solo_banavim,OAXACA - VILLA DE ZAACHILA
ALTA,solo_banavim,OAXACA - ZIMATLAN DE ALVAREZ
ALTA,solo_banavim,PUEBLA - ACAJETE
ALTA,solo_banavim,PUEBLA - AMOZOC
ALTA,solo_banavim,PUEBLA - ATLIXCO
ALTA,solo_banavim,PUEBLA - ATOYATEMPAN
ALTA,solo_banavim,PUEBLA - CALPAN
ALTA,solo_banavim,PUEBLA - CHALCHICOMULA DE SESMA
ALTA,solo_banavim,PUEBLA - CHAPULCO
ALTA,solo_banavim,PUEBLA - CHIAUTLA
ALTA,solo_banavim,PUEBLA - CORONANGO
ALTA,solo_banavim,PUEBLA - COYOTEPEC
ALTA,solo_banavim,PUEBLA - CUAUTLANCINGO
ALTA,solo_banavim,PUEBLA - CUETZALAN DEL PROGRESO
ALTA,solo_banavim,PUEBLA - HUAUCHINANGO
ALTA,solo_banavim,PUEBLA - HUEJOTZINGO
ALTA,solo_banavim,PUEBLA - OCOYUCAN
ALTA,solo_banavim,PUEBLA - PAHUATLAN
ALTA,solo_banavim,PUEBLA - PALMAR DE BRAVO
ALTA,solo_banavim,PUEBLA - PUEBLA
ALTA,solo_banavim,PUEBLA - SAN ANDRES CHOLULA
ALTA,solo_banavim,PUEBLA - SAN GREGORIO ATZOMPA
ALTA,solo_banavim,PUEBLA - SAN JOSE CHIAPA
